I0925 17:52:46.439452       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0925 17:52:46.439513       1 resolver.go:111] Model resolved via default
I0925 17:52:46.439620     100 server.go:1580] Starting language server process with pid 1755118
I0925 17:52:46.439858     100 server.go:1631] Language server version: 1.2.11
I0925 17:52:46.439864     100 server.go:615] Language server will attempt to listen on host localhost
I0925 17:52:46.440104     100 server.go:630] Language server listening on random port at 37323 for HTTPS (gRPC)
I0925 17:52:46.440135     100 server.go:638] Language server listening on random port at 34641 for HTTP
W0925 17:52:46.582550      59 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.582614      59 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:52:46.582975      59 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.583003      59 model_configs.go:226] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0925 17:52:46.590582      65 store_client.go:697] summary store: starting background reconciliation (trigger=startup)
W0925 17:52:46.591694     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.591729     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.591833     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.591854     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.592313     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.592333     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.592408     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.592428     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.592493     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.592508     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.592550     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.592561     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.592905     100 server.go:2107] Failed to create shared artifacts watcher: couldn't initialize inotify: too many open files: couldn't initialize inotify: too many open files
W0925 17:52:46.593096     100 defaults.go:706] failed to get cs path: cs path /usr/bin/cs invalid
I0925 17:52:46.593124     100 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0925 17:52:46.593589      74 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.593662      74 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.593766      74 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.593802      74 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.598612     154 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.598695     154 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.598942     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.598972     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.599088     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.599106     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.599354     157 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.599392     157 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.599488     157 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.599502     157 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.640445     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.640486     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.640544     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.640562     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.640790     436 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.640846     436 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.640938     436 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.640957     436 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.646512     423 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0925 17:52:46.646567     423 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0925 17:52:46.646692     423 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.646715     423 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0925 17:52:46.646781     423 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.646785     423 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0925 17:52:46.646829     423 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.646834     423 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0925 17:52:46.646838     423 manager.go:88] Migration [MIGRATION_ID_ADOPT_BWG_INSTALLS] is disabled, skipping entirely
I0925 17:52:46.652279     100 server.go:3073] Auth succeeded, refreshing features and managers
W0925 17:52:46.652353     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.652384     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:52:46.652474     100 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.652508     100 server.go:3080] State refresh took 0ms
I0925 17:52:46.652512     100 server.go:3091] [RemoteControl] Subscription callback triggered.
I0925 17:52:46.652596     100 server.go:3094] [RemoteControl] RemoteControlEnabled value: false
I0925 17:52:46.652600     100 server.go:3770] [RemoteControl] Session toggle is off, staying disconnected
I0925 17:52:46.652603     100 server.go:3481] [RemoteControl] Resolved proxyServerURL: ""
I0925 17:52:46.652631     100 profiler.go:231] Continuous pprof profiling is disabled.
I0925 17:52:46.652752     429 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0925 17:52:46.652774     429 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0925 17:52:46.652809     100 server.go:2532] initialized server successfully in 213.156156ms
I0925 17:52:46.652865     429 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.652871     429 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0925 17:52:46.652917     429 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.652921     429 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0925 17:52:46.652965     429 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:46.652969     429 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0925 17:52:46.652973     429 manager.go:88] Migration [MIGRATION_ID_ADOPT_BWG_INSTALLS] is disabled, skipping entirely
W0925 17:52:46.652980     432 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.653023     432 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0925 17:52:46.653051       1 auto_updater.go:281] Last check was less than 15 minutes ago, skipping update (fast path)
I0925 17:52:46.653076       1 common.go:152] Launching CLI mode
E0925 17:52:46.653086       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0925 17:52:46.653098       1 common.go:174] CLI app data directory: /home/noah/.gemini/antigravity-cli
I0925 17:52:46.653107       1 server.go:315] Creating CLI server backend: product=antigravity workspaceDirs=[/mnt/nvme-raid0/tmp/xpile-qh] appDataDir=/home/noah/.gemini/antigravity-cli cascadeManager=true codeAssist=true
W0925 17:52:46.653164     432 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.653188     432 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.653206       1 auth_provider.go:952] [AuthProvider] SetEnableBusinessLogin called with enable: true
I0925 17:52:46.654316       1 server.go:2166] Backend project ID updated dynamically to: default-cli-project
I0925 17:52:46.654333       1 analytics.go:186] CLI startup completed (took 216.30919ms)
I0925 17:52:46.654349       1 printmode.go:181] Print mode: starting (promptLength=42769, model="gemini-3.1-pro-high", conversationID="")
W0925 17:52:46.654351     124 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.654365       1 manager.go:443] Initializing CLI store manager for workspace /mnt/nvme-raid0/tmp/xpile-qh
E0925 17:52:46.654413     124 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654507     124 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654524     124 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:46.654578       1 cli_setting_manager.go:153] applyUserSettings: stored shared config permissions: allow=17 deny=0 ask=0 from /home/noah/.gemini/config/config.json
I0925 17:52:46.654602       1 cli_setting_manager.go:92] CLI settings initialized: permissions=&{Allow:[command(git status) command(git checkout) command(env) command(tar) command(grep)] Deny:[] Ask:[]}, toolPermission=request-review
W0925 17:52:46.654612     124 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654635     124 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654687     124 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654703     124 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654767     124 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654786     124 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654837     124 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654852     124 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654920     124 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:46.654940     124 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:46.654993     124 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
