I0925 17:53:06.449267       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0925 17:53:06.449328       1 resolver.go:111] Model resolved via default
I0925 17:53:06.449445     114 server.go:1580] Starting language server process with pid 1770182
I0925 17:53:06.449678     114 server.go:1631] Language server version: 1.2.11
I0925 17:53:06.449683     114 server.go:615] Language server will attempt to listen on host localhost
I0925 17:53:06.449976     114 server.go:630] Language server listening on random port at 39389 for HTTPS (gRPC)
I0925 17:53:06.450007     114 server.go:638] Language server listening on random port at 34723 for HTTP
W0925 17:53:06.606255     136 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.606332     136 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:53:06.608579     136 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:53:06.608643     136 model_configs.go:226] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0925 17:53:06.616484     142 store_client.go:697] summary store: starting background reconciliation (trigger=startup)
W0925 17:53:06.618923     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.619073     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.619210     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.619252     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:06.620179     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.620223     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.620309     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.620323     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:06.620513     114 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.620533     114 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.620584     114 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.620598     114 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.620799     114 server.go:2041] failed to start projects watcher: failed to create watcher: couldn't initialize inotify: too many open files
E0925 17:53:06.620950     114 server.go:2107] Failed to create shared artifacts watcher: couldn't initialize inotify: too many open files: couldn't initialize inotify: too many open files
W0925 17:53:06.621062     114 defaults.go:706] failed to get cs path: cs path /usr/bin/cs invalid
I0925 17:53:06.621073     114 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0925 17:53:06.621292     163 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.621346     163 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.621462     163 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.621492     163 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:06.625094      96 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.625144      96 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.625625     403 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.625662     403 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.625724     403 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.625742     403 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:06.625906     408 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.625935     408 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.625993     408 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.626011     408 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:53:06.626078     410 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.626096     410 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:53:06.626129     410 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:53:06.626142     410 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
