I0925 17:52:37.271069       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0925 17:52:37.271188       1 resolver.go:111] Model resolved via default
I0925 17:52:37.271298      98 server.go:1580] Starting language server process with pid 1747297
I0925 17:52:37.271560      98 server.go:1631] Language server version: 1.2.11
I0925 17:52:37.271568      98 server.go:615] Language server will attempt to listen on host localhost
I0925 17:52:37.271798      98 server.go:630] Language server listening on random port at 33177 for HTTPS (gRPC)
I0925 17:52:37.271830      98 server.go:638] Language server listening on random port at 32813 for HTTP
W0925 17:52:37.421319     152 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.421390     152 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:52:37.422994     152 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.423068     152 model_configs.go:226] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0925 17:52:37.430960     158 store_client.go:697] summary store: starting background reconciliation (trigger=startup)
W0925 17:52:37.432020      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432061      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.432172      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432194      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.432458     170 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432507     170 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.432573     170 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432601     170 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.432760      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432785      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.432851      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.432866      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.433286      98 server.go:2107] Failed to create shared artifacts watcher: couldn't initialize inotify: too many open files: couldn't initialize inotify: too many open files
W0925 17:52:37.433525      98 defaults.go:706] failed to get cs path: cs path /usr/bin/cs invalid
I0925 17:52:37.433568      98 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0925 17:52:37.433641     210 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.433677     210 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.433754     210 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.433790     210 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.439529     197 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.439574     197 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.439937      85 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.439956      85 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.440009      85 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.440023      85 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.440151      90 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.440168      90 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.440212      90 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.440224      90 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.449037      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.449093      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.449178      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.449195      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.450100      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.450122      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.450175      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.450189      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.454740     566 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0925 17:52:37.454782     566 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0925 17:52:37.454865     566 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.454871     566 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0925 17:52:37.454936     566 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.454940     566 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0925 17:52:37.454999     566 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.455003     566 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0925 17:52:37.455007     566 manager.go:88] Migration [MIGRATION_ID_ADOPT_BWG_INSTALLS] is disabled, skipping entirely
I0925 17:52:37.461815      98 server.go:3073] Auth succeeded, refreshing features and managers
W0925 17:52:37.461889      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.461925      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0925 17:52:37.462072      98 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.462137      98 server.go:3080] State refresh took 0ms
I0925 17:52:37.462142      98 server.go:3091] [RemoteControl] Subscription callback triggered.
I0925 17:52:37.462245      98 server.go:3094] [RemoteControl] RemoteControlEnabled value: false
I0925 17:52:37.462250      98 server.go:3770] [RemoteControl] Session toggle is off, staying disconnected
I0925 17:52:37.462254      98 server.go:3481] [RemoteControl] Resolved proxyServerURL: ""
I0925 17:52:37.462291      98 profiler.go:231] Continuous pprof profiling is disabled.
I0925 17:52:37.462309     572 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
